actual,depart_date,destination,distance,duration,found_at,gate,number_of_changes,origin,return_date,show_to_affiliates,trip_class,value
True,2020-01-10,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,21118
True,2020-01-14,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,17849
True,2020-01-21,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,12147
True,2020-01-12,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,21118
True,2020-01-08,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,15391
True,2020-01-02,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,13017
True,2020-01-20,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,11013
True,2020-01-23,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,13017
True,2020-01-13,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,15391
True,2020-01-27,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,9793
True,2020-01-30,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,13017
True,2020-01-03,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,14148
True,2020-01-13,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,18328
True,2020-01-08,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,21118
True,2020-01-18,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,14089
True,2020-01-25,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,14089
True,2020-01-09,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,22108
True,2020-01-10,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,15391
True,2020-01-29,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,9793
True,2020-01-06,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,15391
True,2020-01-21,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,12524
True,2020-01-06,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,29253
True,2020-01-23,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,15316
True,2020-01-28,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,12524
True,2020-01-29,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11324
True,2020-01-22,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11324
True,2020-01-17,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11274
True,2020-01-24,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11324
True,2020-01-09,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11274
True,2020-01-07,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,13619
True,2020-01-15,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,0,FRU,,False,0,22260
True,2020-01-14,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11274
True,2020-01-27,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11324
True,2020-01-20,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11324
True,2020-01-26,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11324
True,2020-01-25,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11324
True,2020-01-16,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11274
True,2020-01-28,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11324
True,2020-01-18,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11274
True,2020-01-12,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,13619
True,2020-01-15,LED,3496,,2019-10-31 07:55:43.236053,AMADEUS,1,FRU,,False,0,11274
